"X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38"
-6.30206,-0.0752244,0.29653,-98.8954,-99.166,-3.49941,1.48995,-0.294846,-95.6717,75.5427,-1.78519,21.2236,94.1828,6.53183,-6.94549,-71.9281,3.24492,-2.00004,2.214,1.15284,-46.8115,-55.2598,15.7431,97.6711,21.4399,-25.7796,-21.2818,31.3937,99.8091,56.7828,-89.4959,13.4307,11.0254,99.2614,41.3309,-62.7102,-26.1437,42.571,-98.5759
-6.34302,-0.0588308,0.424743,-99.7204,-99.0716,-3.42884,1.48478,-0.334911,-95.8656,77.3825,-1.96204,21.3237,94.7402,6.63931,-6.99036,-71.9072,3.26343,-2.05407,2.30949,1.53561,-46.8644,-55.1464,15.7011,97.6311,21.7059,-25.4119,-21.1595,31.4986,99.7102,56.7879,-89.5939,13.3031,11.0558,99.2111,41.3516,-63.4244,-25.9358,42.6104,-98.8328
-6.31084,-0.0601885,0.36398,-99.5692,-99.1529,-3.46344,1.46686,-0.401189,-95.8237,77.2958,-1.95498,21.3484,94.6234,6.65984,-7.00681,-71.8975,3.23419,-1.9981,2.22173,1.35029,-46.8553,-55.1676,15.906,97.6417,21.7848,-25.8608,-21.5346,31.2637,99.6598,57.1198,-89.5355,13.3635,11.0432,99.0831,41.346,-63.437,-26.2336,42.5944,-98.779
-6.32443,-0.0601885,0.401475,-99.5692,-99.1252,-3.46872,1.47732,-0.438425,-95.8341,77.2958,-1.97972,21.3594,94.6234,6.83091,-7.00786,-71.8886,3.23096,-1.94893,2.22173,1.35029,-46.935,-55.14,15.8806,97.6417,21.7755,-25.863,-21.5403,31.2557,99.8333,56.7852,-89.5113,13.3621,10.9843,98.6157,41.3556,-63.4377,-26.2538,42.5621,-98.779
-6.06866,-0.0508954,0.340981,-90.367,-99.3436,-3.45556,1.54979,-3.95265,-95.9504,77.2814,-0.383786,21.2601,88.1843,7.14801,-6.72516,-78.4733,3.30439,-2.45444,2.26009,1.2688,-46.5424,-54.351,16.0662,98.9716,21.7314,-25.6442,-22.2065,31.2773,99.766,57.2411,-89.8385,13.3469,11.1833,99.7076,41.3979,-63.3287,-26.1167,42.8029,-98.9615
-6.32443,-0.0601885,0.401475,-99.5692,-99.1252,-3.47338,1.47732,-0.400055,-95.8341,77.2958,-1.97972,21.3594,94.6234,6.83091,-7.00786,-71.8886,3.23901,-1.94893,2.22173,1.35029,-46.935,-55.14,15.8806,97.6417,21.7755,-25.863,-21.5403,31.2557,99.8333,56.7852,-89.5113,13.3572,10.9843,98.6157,41.3536,-63.4377,-26.2538,42.5621,-98.779
-6.34302,-0.0575213,0.380563,-99.578,-99.0704,-3.49025,1.48496,-0.327176,-95.8656,77.2848,-2.01489,21.3039,94.6944,6.65933,-6.99317,-71.9072,3.72572,-2.01741,2.17554,1.50474,-46.8819,-55.1261,15.6865,97.6697,21.7247,-25.3945,-21.5056,31.2452,99.7891,56.7867,-89.5518,10.9149,11.044,99.2275,41.3326,-63.3876,-26.5559,42.7405,-98.946
-6.31482,-0.0557022,0.401475,-99.5692,-99.1252,-3.47338,1.47732,-0.400055,-95.8293,77.2958,-1.97972,21.3594,94.6234,6.92742,-7.00742,-71.8886,3.23096,-1.94893,2.22173,1.3524,-46.935,-55.14,15.8806,97.6417,21.7755,-25.863,-21.5403,31.2557,99.8333,56.7549,-89.5113,13.3572,10.9843,98.6157,41.3547,-63.4377,-26.2538,42.5621,-98.779
-6.28701,-0.0617698,0.401475,-99.5692,-99.1479,-3.47338,1.51709,-0.431759,-95.8341,77.3291,-1.97972,21.3594,94.6234,6.86418,-6.98821,-71.8886,3.21203,-2.0004,2.22173,1.35029,-46.8652,-55.163,15.8987,97.6418,21.7702,-25.863,-21.8987,31.2557,99.8333,56.7852,-89.5332,13.3586,10.9356,99.1914,41.3528,-63.4377,-26.048,42.5621,-98.775
-6.33,-0.0663761,0.380563,-99.5692,-99.0716,-3.50313,1.48695,-0.316307,-95.8656,77.2848,-1.99259,21.2036,94.6928,6.6531,-6.99317,-71.9036,3.28813,-2.05739,2.21291,1.50474,-46.8837,-55.1424,15.7119,97.6363,21.7536,-25.3945,-21.5234,31.2447,99.7392,56.7879,-89.5313,10.913,11.08,99.1979,41.3296,-63.4047,-26.5917,42.7746,-98.938
